,ground CCSDE,1A1 (4s),2A1 (3pz),3A1 (3s),4A1 (3d),5A1 (3pz),1A2 (3d),2A2 (4d),1B1 (5px),2B1 (3px),3B1 (3d),4B1 (4px),5B1 (4d), 1B1 (2py),2B2 (3py),3B2 (3d),4B2 (4py),5B2 (4d)
0.5,-3.019779276,-3.024101754,-2.943871709,-2.934221991,-2.92632207,-2.908134608,-2.925644317,-2.880438752,-3.003753543,-2.929012925,-2.926144624,-2.895837895,-2.881349959,-3.003753543,-2.929012925,-2.926144624,-2.895837895,-2.881349959
0.51,-3.032520337,-3.034969766,-2.955200115,-2.945105854,-2.937261194,-2.919140772,-2.936558272,-2.891346465,-3.014657259,-2.939929127,-2.937076481,-2.906756207,-2.892289471,-3.014657259,-2.939929127,-2.937076481,-2.906756207,-2.892289471
0.52,-3.044465236,-3.044831117,-2.965594548,-2.95502577,-2.947248784,-2.929207133,-2.946520427,-2.90130214,-3.024606087,-2.949892644,-2.947056664,-2.91672179,-2.902277191,-3.024606087,-2.949892644,-2.947056664,-2.91672179,-2.902277191
0.53,-3.055684482,-3.053767213,-2.975127722,-2.964058451,-2.956360092,-2.938408775,-2.955606046,-2.910381037,-3.03367535,-2.958978758,-2.956160423,-2.925809923,-2.911388366,-3.03367535,-2.958978758,-2.956160423,-2.925809923,-2.911388366
0.54,-3.066241728,-3.061852744,-2.983866063,-2.972274099,-2.964663976,-2.946814126,-2.963883999,-2.918652027,-3.041933986,-2.967256365,-2.964456615,-2.934089495,-2.919691852,-3.041933986,-2.967256365,-2.964456615,-2.934089495,-2.919691852
0.55,-3.076194517,-3.069156182,-2.991870351,-2.979737015,-2.972223518,-2.954485585,-2.971417382,-2.926178204,-3.049445154,-2.974788581,-2.972008067,-2.941623617,-2.927250712,-3.049445154,-2.974788581,-2.972008067,-2.941623617,-2.927250712
0.56,-3.085594923,-3.075740263,-2.999196276,-2.986506142,-2.979096571,-2.9614801,-2.97826406,-2.93301743,-3.056266792,-2.981633295,-2.978873154,-2.948470173,-2.934122831,-3.056266792,-2.981633295,-2.978873154,-2.948470173,-2.934122831
0.57,-3.094490097,-3.081662468,-3.005894935,-2.992635556,-2.985336242,-2.967849708,-2.984477152,-2.939222825,-3.062452092,-2.987843652,-2.985104725,-2.954682301,-2.940361297,-3.062452092,-2.987843652,-2.985104725,-2.954682301,-2.940361297
0.58,-3.102922747,-3.086975475,-3.01201327,-2.998174913,-2.990991334,-2.973642027,-2.990105473,-2.9448432,-3.068049944,-2.993468487,-2.990751581,-2.960308833,-2.94601491,-3.068049944,-2.993468487,-2.990751581,-2.960308833,-2.94601491
0.59,-3.11093155,-3.091727582,-3.017594452,-3.003169844,-2.996106725,-2.978900698,-2.995193917,-2.949923448,-3.073105318,-2.998552719,-2.995858602,-2.965394681,-2.951128548,-3.073105318,-2.998552719,-2.995858602,-2.965394681,-2.951128548
0.6,-3.118551526,-3.095963101,-3.02267823,-3.00766232,-3.000723727,-2.983665792,-2.999783809,-2.954504891,-3.077659616,-3.003137692,-3.000467101,-2.969981189,-2.955743519,-3.077659616,-3.003137692,-3.000467101,-2.969981189,-2.955743519
0.61,-3.125814364,-3.099722714,-3.02730124,-3.011690972,-3.004880393,-2.987974159,-3.003913217,-2.958625592,-3.081750984,-3.007261498,-3.00461513,-2.97410644,-2.959897872,-3.081750984,-3.007261498,-3.00461513,-2.97410644,-2.959897872
0.62,-3.132748722,-3.1030438,-3.031497289,-3.015291405,-3.008611798,-2.991859715,-3.007617236,-2.962320642,-3.085414598,-3.010959251,-3.008337769,-2.977805547,-2.963626682,-3.085414598,-3.010959251,-3.008337769,-2.977805547,-2.963626682
0.63,-3.139380503,-3.105960738,-3.035297561,-3.018496385,-3.011950302,-2.995353981,-3.010928241,-2.965622411,-3.088682912,-3.014263351,-3.011667373,-2.9811109,-2.966962306,-3.088682912,-3.014263351,-3.011667373,-2.9811109,-2.966962306
0.64,-3.145733099,-3.108505164,-3.038730908,-3.021336218,-3.014925773,-2.998485773,-3.013876316,-2.968560774,-3.091585889,-3.017203705,-3.014633811,-2.984052396,-2.969934608,-3.091585889,-3.017203705,-3.014633811,-2.984052396,-2.969934608
0.65,-3.151827624,-3.110706213,-3.041824011,-3.023838838,-3.017565794,-3.001281867,-3.016488738,-2.971163332,-3.094151212,-3.019807941,-3.017264666,-2.986657652,-2.972571171,-3.094151212,-3.019807941,-3.017264666,-2.986657652,-2.972571171
0.66,-3.157683122,-3.112590819,-3.044601586,-3.026030046,-3.019895867,-3.003766926,-3.018791136,-2.973455588,-3.09640447,-3.022101591,-3.019585427,-2.988952191,-2.974897487,-3.09640447,-3.022101591,-3.019585427,-2.988952191,-2.974897487
0.67,-3.163316768,-3.114183584,-3.04708645,-3.027933686,-3.021939556,-3.00596414,-3.02080709,-2.97546112,-3.098369326,-3.024108288,-3.021619656,-2.990959618,-2.976937127,-3.098369326,-3.024108288,-3.021619656,-2.990959618,-2.976937127
0.68,-3.168744039,-3.115507473,-3.049299865,-3.029571807,-3.02371862,-3.007894681,-3.022558413,-2.977201739,-3.100067674,-3.02584982,-3.023389163,-2.992701758,-2.978711875,-3.100067674,-3.02584982,-3.023389163,-2.992701758,-2.978711875
0.69,-3.173978883,-3.116583599,-3.051261501,-3.030964805,-3.025253278,-3.009578246,-3.024065291,-2.978697629,-3.101519791,-3.027346419,-3.024914115,-2.994198821,-2.980241908,-3.101519791,-3.027346419,-3.024914115,-2.994198821,-2.980241908
0.7,-3.179033873,-3.117431482,-3.052989584,-3.032131562,-3.026562176,-3.011033329,-3.025346412,-2.979967478,-3.102744452,-3.028616801,-3.026213189,-2.995469519,-2.981545899,-3.102744452,-3.028616801,-3.026213189,-2.995469519,-2.981545899
0.71,-3.183920339,-3.118069176,-3.054501076,-3.033089564,-3.027662626,-3.012276862,-3.02641909,-2.981028594,-3.103759055,-3.029678302,-3.027303681,-2.996531185,-2.982641139,-3.103759055,-3.029678302,-3.027303681,-2.996531185,-2.982641139
0.72,-3.188648499,-3.118513386,-3.055811721,-3.033855007,-3.028570653,-3.013324651,-3.027299364,-2.981897016,-3.104579802,-3.030546988,-3.028201499,-2.997399877,-2.983543437,-3.104579802,-3.030546988,-3.028201499,-2.997399877,-2.983543437
0.73,-3.193227573,-3.118779576,-3.056936157,-3.034442904,-3.029301114,-3.014191382,-3.028002105,-2.982587611,-3.105221513,-3.031237778,-3.028921725,-2.998090346,-2.984268066,-3.105221513,-3.031237778,-3.028921725,-2.998090346,-2.984268066
0.74,-3.197665889,-3.118882076,-3.057887991,-3.034867172,-3.029867785,-3.014890705,-3.028541104,-2.983114167,-3.105698103,-3.031764441,-3.029478031,-2.998616693,-2.984828572,-3.105698103,-3.031764441,-3.029478031,-2.998616693,-2.984828572
0.75,-3.201970976,-3.118834165,-3.058679887,-3.035140725,-3.030283446,-3.015435312,-3.028929068,-2.983489235,-3.10602247,-3.032139821,-3.029883195,-2.99899159,-2.985237748,-3.10602247,-3.032139821,-3.029883195,-2.99899159,-2.985237748
0.76,-3.206149652,-3.11864816,-3.059323629,-3.035275547,-3.030559958,-3.015837011,-3.029178044,-2.983725148,-3.106206574,-3.032375819,-3.030149078,-2.999226938,-2.985507452,-3.106206574,-3.032375819,-3.030149078,-2.999226938,-2.985507452
0.77,-3.210208103,-3.118335493,-3.059830193,-3.035282768,-3.030708333,-3.016106786,-3.029298979,-2.983832716,-3.106261525,-3.032483489,-3.030286693,-2.999333779,-2.98564869,-3.106261525,-3.032483489,-3.030286693,-2.999333779,-2.98564869
0.78,-3.21415195,-3.117906776,-3.060209804,-3.035172723,-3.030738855,-3.016254946,-3.029302121,-2.983822183,-3.106197653,-3.032473101,-3.030306276,-2.999322385,-2.985671691,-3.106197653,-3.032473101,-3.030306276,-2.999322385,-2.985671691
0.79,-3.217986315,-3.11737187,-3.060472,-3.034955032,-3.030660929,-3.016290858,-3.029196995,-2.983703074,-3.106024563,-3.032354205,-3.030217338,-2.9992023,-2.985585957,-3.106024563,-3.032354205,-3.030217338,-2.9992023,-2.985585957
0.8,-3.221715875,-3.116739942,-3.060625669,-3.03463863,-3.030483442,-3.016223463,-3.028992462,-2.983484246,-3.105751191,-3.032135684,-3.030028722,-2.998982401,-2.985400327,-3.105751191,-3.032135684,-3.030028722,-2.998982401,-2.985400327
0.81,-3.225344914,-3.116019518,-3.060679107,-3.034231836,-3.030214618,-3.016061026,-3.028696763,-2.983173939,-3.105385857,-3.031825801,-3.029748657,-2.998670952,-2.985123022,-3.105385857,-3.031825801,-3.029748657,-2.998670952,-2.985123022
0.82,-3.228877367,-3.115218533,-3.060640053,-3.033742395,-3.029862112,-3.015811252,-3.028317569,-2.982779826,-3.104936308,-3.031432253,-3.029384742,-2.998275644,-2.984761554,-3.104936308,-3.031432253,-3.029384742,-2.998275644,-2.984761554
0.83,-3.232316857,-3.114344375,-3.060515735,-3.03317752,-3.029433052,-3.015481329,-3.027862032,-2.982309048,-3.104409766,-3.030962207,-3.028944225,-2.997803638,-2.984323306,-3.104409766,-3.030962207,-3.028944225,-2.997803638,-2.984323306
0.84,-3.235666737,-3.113403928,-3.060312902,-3.032543932,-3.028934075,-3.015077961,-3.027336806,-2.981768262,-3.103812957,-3.030422339,-3.028433689,-2.997261609,-2.983814787,-3.103812957,-3.030422339,-3.028433689,-2.997261609,-2.983814787
0.85,-3.238930112,-3.112403603,-3.060037857,-3.031847897,-3.028371366,-3.014607404,-3.026748058,-2.981163506,-3.103152155,-3.029818874,-3.027859324,-2.996655779,-2.983242174,-3.103152155,-3.029818874,-3.027859324,-2.996655779,-2.983242174
0.86,-3.242109874,-3.111349382,-3.059696494,-3.031095259,-3.027750689,-3.014075499,-3.026101645,-2.980500877,-3.102433213,-3.029157615,-3.027226899,-2.995991948,-2.982611227,-3.102433213,-3.029157615,-3.027226899,-2.995991948,-2.982611227
0.87,-3.24520872,-3.110246841,-3.059294316,-3.030291468,-3.027077414,-3.013487699,-3.025402923,-2.979785614,-3.10166159,-3.028443974,-3.026541793,-2.995275526,-2.981927312,-3.10166159,-3.028443974,-3.026541793,-2.995275526,-2.981927312
0.88,-3.248229179,-3.10910118,-3.058836469,-3.029441609,-3.026356546,-3.012849093,-3.024656921,-2.979022745,-3.100842379,-3.027682999,-3.025809022,-2.994511558,-2.981195433,-3.100842379,-3.027682999,-3.025809022,-2.994511558,-2.981195433
0.89,-3.251173623,-3.107917253,-3.058327764,-3.02855043,-3.025592754,-3.012164436,-3.023868332,-2.97821696,-3.099980335,-3.026879398,-3.025033263,-2.993704751,-2.980420254,-3.099980335,-3.026879398,-3.025033263,-2.993704751,-2.980420254
0.9,-3.25404429,-3.106699588,-3.057772695,-3.02762236,-3.024790385,-3.011438166,-3.023041529,-2.977372633,-3.099079894,-3.026037564,-3.024218878,-2.992859496,-2.979606123,-3.099079894,-3.026037564,-3.024218878,-2.992859496,-2.979606123
0.91,-3.256843295,-3.105452361,-3.057175449,-3.026661553,-3.023953484,-3.010674422,-3.022180595,-2.976493843,-3.098145198,-3.025161595,-3.023369937,-2.991979892,-2.978757095,-3.098145198,-3.025161595,-3.023369937,-2.991979892,-2.978757095
0.92,-3.259572643,-3.104179613,-3.05653998,-3.025671832,-3.023085867,-3.009877078,-3.021289338,-2.9755844,-3.097180112,-3.024255314,-3.022490234,-2.991069759,-2.977876949,-3.097180112,-3.024255314,-3.022490234,-2.991069759,-2.977876949
0.93,-3.262234239,-3.102884972,-3.055869949,-3.024656834,-3.022190996,-3.009049753,-3.020371308,-2.974647851,-3.096188243,-3.023322287,-3.021583309,-2.990132666,-2.976969208,-3.096188243,-3.023322287,-3.021583309,-2.990132666,-2.976969208
0.94,-3.264829898,-3.101571876,-3.055168781,-3.023619922,-3.021272169,-3.008195812,-3.019429817,-2.973687508,-3.095172956,-3.022365841,-3.020652463,-2.989171938,-2.976037155,-3.095172956,-3.022365841,-3.020652463,-2.989171938,-2.976037155
0.95,-3.267361356,-3.100243528,-3.054439678,-3.022564244,-3.020332434,-3.007318404,-3.018467953,-2.972706459,-3.094137375,-3.021389062,-3.019700771,-2.988190672,-2.975083849,-3.094137375,-3.021389062,-3.019700771,-2.988190672,-2.975083849
0.96,-3.269830271,-3.098902915,-3.053685629,-3.021492743,-3.019374623,-3.006420461,-3.017488592,-2.97170758,-3.093084457,-3.020394869,-3.018731102,-2.987191772,-2.97411214,-3.093084457,-3.020394869,-3.018731102,-2.987191772,-2.97411214
0.97,-3.272238237,-3.097552823,-3.052909427,-3.02040817,-3.018401365,-3.005504723,-3.016494415,-2.970693554,-3.092016918,-3.01938594,-3.017746127,-2.986177927,-2.973124681,-3.092016918,-3.01938594,-3.017746127,-2.986177927,-2.973124681
0.98,-3.274586785,-3.096195847,-3.052113677,-3.019313094,-3.017415101,-3.004573742,-3.015487921,-2.969666877,-3.090937302,-3.018364783,-3.016748335,-2.98515165,-2.97212394,-3.090937302,-3.018364783,-3.016748335,-2.98515165,-2.97212394
0.99,-3.276877389,-3.094834408,-3.051300808,-3.018209923,-3.016418088,-3.003629896,-3.014471434,-2.968629876,-3.089847978,-3.017333733,-3.015740044,-2.984115281,-2.971112214,-3.089847978,-3.017333733,-3.015740044,-2.984115281,-2.971112214
1,-3.279111471,-3.093470757,-3.050473089,-3.017100843,-3.015412413,-3.002675395,-3.013447117,-2.967584714,-3.088751153,-3.016294963,-3.01472341,-2.983070995,-2.970091636,-3.088751153,-3.016294963,-3.01472341,-2.983070995,-2.970091636
1.01,-3.281290405,-3.092106992,-3.049632626,-3.015988101,-3.014399998,-3.001712366,-3.012416983,-2.966533404,-3.087648879,-3.015250493,-3.013700439,-2.98202082,-2.96906419,-3.087648879,-3.015250493,-3.013700439,-2.98202082,-2.96906419
1.02,-3.283415518,-3.090745082,-3.048781389,-3.014873609,-3.013382608,-3.000742634,-3.0113829,-2.965477815,-3.086543069,-3.014202202,-3.012673004,-2.980966643,-2.96803172,-3.086543069,-3.014202202,-3.012673004,-2.980966643,-2.96803172
1.03,-3.285488098,-3.089386795,-3.047921211,-3.013759249,-3.012361854,-2.999768014,-3.010346604,-2.964419686,-3.085435487,-3.013151826,-3.011642823,-2.979910205,-2.966995927,-3.085435487,-3.013151826,-3.011642823,-2.979910205,-2.966995927
1.04,-3.28750939,-3.088033833,-3.047053797,-3.012646785,-3.011339201,-2.99879017,-3.009309707,-2.963360628,-3.084327784,-3.012100985,-3.01061151,-2.978853135,-2.965958398,-3.084327784,-3.012100985,-3.01061151,-2.978853135,-2.965958398
1.05,-3.289480607,-3.086687754,-3.046180731,-3.011537895,-3.010315968,-2.997810643,-3.008273702,-2.962302137,-3.083221485,-3.011051183,-3.009580556,-2.977796945,-2.964920589,-3.083221485,-3.011051183,-3.009580556,-2.977796945,-2.964920589
1.06,-3.291402924,-3.085350001,-3.045303488,-3.010434175,-3.00929333,-2.996830861,-3.007239969,-2.961245596,-3.082118007,-3.010003789,-3.008551331,-2.976742916,-2.963883868,-3.082118007,-3.010003789,-3.008551331,-2.976742916,-2.963883868
1.07,-3.293277485,-3.084021906,-3.044423436,-3.009337153,-3.008272321,-2.995852147,-3.006209789,-2.960192287,-3.081018654,-3.008960095,-3.007525137,-2.975692544,-2.962849479,-3.081018654,-3.008960095,-3.007525137,-2.975692544,-2.962849479
1.08,-3.295105401,-3.082704702,-3.043541845,-3.008248303,-3.007253838,-2.994875726,-3.005184341,-2.959143392,-3.079924636,-3.007921282,-3.006503144,-2.974646928,-2.961818579,-3.079924636,-3.007921282,-3.006503144,-2.974646928,-2.961818579
1.09,-3.296887756,-3.081399521,-3.042659894,-3.007169044,-3.006238641,-2.993902731,-3.004164715,-2.958099939,-3.078837166,-3.006888437,-3.005486444,-2.973607166,-2.960792232,-3.078837166,-3.006888437,-3.005486444,-2.973607166,-2.960792232
1.1,-3.298625605,-3.080107407,-3.041778676,-3.006100744,-3.005227373,-2.992934208,-3.003151913,-2.957063052,-3.077757078,-3.005862564,-3.004476045,-2.972574283,-2.959771416,-3.077757078,-3.005862564,-3.004476045,-2.972574283,-2.959771416
1.11,-3.300319977,-3.078829315,-3.040899201,-3.005044711,-3.004220569,-2.99197112,-3.002146855,-2.956033602,-3.076685411,-3.004844583,-3.003472873,-2.971549208,-2.958757026,-3.076685411,-3.004844583,-3.003472873,-2.971549208,-2.958757026
1.12,-3.301971874,-3.077566117,-3.040022405,-3.004002167,-3.0032187,-2.991014356,-3.001150387,-2.955012435,-3.075623029,-3.003835335,-3.002477777,-2.970532798,-2.957749884,-3.075623029,-3.003835335,-3.002477777,-2.970532798,-2.957749884
1.13,-3.303582277,-3.076318611,-3.039149153,-3.002974213,-3.002222211,-2.99006473,-3.000163281,-2.954000328,-3.074570724,-3.002835591,-3.001491538,-2.969525841,-2.956750739,-3.074570724,-3.002835591,-3.001491538,-2.969525841,-2.956750739
1.14,-3.305152139,-3.075087517,-3.038280244,-3.001961774,-3.001231585,-2.989122991,-2.999186243,-2.95299799,-3.07352922,-3.001846051,-3.000514869,-2.968529052,-2.955760273,-3.07352922,-3.001846051,-3.000514869,-2.968529052,-2.955760273
1.15,-3.306682393,-3.073873489,-3.037416414,-3.000965561,-3.000247392,-2.988189823,-2.998219913,-2.952006066,-3.072499172,-3.000867352,-2.99954842,-2.967543086,-2.954779105,-3.072499172,-3.000867352,-2.99954842,-2.967543086,-2.954779105
1.16,-3.308173952,-3.072677111,-3.036558342,-2.999986036,-2.999270331,-2.98726585,-2.997264874,-2.951025143,-3.071481176,-2.999900071,-2.998592783,-2.966568536,-2.953807796,-3.071481176,-2.999900071,-2.998592783,-2.966568536,-2.953807796
1.17,-3.309627706,-3.071498909,-3.035706654,-2.999023418,-2.998301228,-2.986351641,-2.996321649,-2.950055749,-3.070475769,-2.998944726,-2.997648494,-2.96560594,-2.95284685,-3.070475769,-2.998944726,-2.997648494,-2.96560594,-2.95284685
1.18,-3.311044523,-3.070339346,-3.034861923,-2.998077723,-2.997341005,-2.985447711,-2.99539071,-2.94909836,-3.069483434,-2.998001783,-2.996716037,-2.964655781,-2.95189672,-3.069483434,-2.998001783,-2.996716037,-2.964655781,-2.95189672
1.19,-3.312425257,-3.069198829,-3.034024678,-2.997148822,-2.99639063,-2.984554527,-2.99447248,-2.948153404,-3.068504602,-2.997071657,-2.995795845,-2.963718492,-2.950957809,-3.068504602,-2.997071657,-2.995795845,-2.963718492,-2.950957809
1.2,-3.313770738,-3.068077713,-3.0331954,-2.996236505,-2.995451053,-2.983672507,-2.993567332,-2.94722126,-3.067539657,-2.996154716,-2.994888307,-2.96279446,-2.950030473,-3.067539657,-2.996154716,-2.994888307,-2.96279446,-2.950030473
1.21,-3.315081779,-3.0669763,-3.032374534,-2.995340535,-2.994523164,-2.982802028,-2.992675598,-2.946302264,-3.066588934,-2.995251282,-2.993993768,-2.961884027,-2.949115027,-3.066588934,-2.995251282,-2.993993768,-2.961884027,-2.949115027
1.22,-3.316359178,-3.065894846,-3.031562483,-2.99446068,-2.993607764,-2.981943424,-2.991797566,-2.94539671,-3.065652727,-2.994361637,-2.99311253,-2.960987492,-2.948211743,-3.065652727,-2.994361637,-2.99311253,-2.960987492,-2.948211743
1.23,-3.317603712,-3.06483356,-3.030759615,-2.993596735,-2.992705547,-2.981096992,-2.990933486,-2.944504853,-3.064731292,-2.993486024,-2.992244858,-2.960105117,-2.947320857,-3.064731292,-2.993486024,-2.992244858,-2.960105117,-2.947320857
1.24,-3.318816144,-3.06379261,-3.029966267,-2.992748525,-2.991817101,-2.980262993,-2.990083571,-2.943626912,-3.063824843,-2.992624647,-2.991390981,-2.959237125,-2.946442568,-3.063824843,-2.992624647,-2.991390981,-2.959237125,-2.946442568
1.25,-3.31999722,-3.062772119,-3.029182743,-2.991915906,-2.990942916,-2.979441652,-2.989248,-2.942763072,-3.062933561,-2.991777677,-2.990551094,-2.958383704,-2.945577041,-3.062933561,-2.991777677,-2.990551094,-2.958383704,-2.945577041
1.26,-3.321147669,-3.061772176,-3.028409319,-2.991098756,-2.990083392,-2.978633166,-2.988426919,-2.941913485,-3.062057591,-2.990945253,-2.989725357,-2.957545012,-2.944724411,-3.062057591,-2.990945253,-2.989725357,-2.957545012,-2.944724411
1.27,-3.322268207,-3.06079283,-3.027646245,-2.990296972,-2.989238849,-2.977837698,-2.987620443,-2.941078271,-3.06119705,-2.990127483,-2.988913904,-2.956721174,-2.943884783,-3.06119705,-2.990127483,-2.988913904,-2.956721174,-2.943884783
1.28,-3.323359533,-3.059834098,-3.026893743,-2.989510465,-2.988409536,-2.977055387,-2.986828662,-2.940257526,-3.060352023,-2.989324448,-2.988116839,-2.955912287,-2.943058235,-3.060352023,-2.989324448,-2.988116839,-2.955912287,-2.943058235
1.29,-3.324422331,-3.058895963,-3.026152016,-2.98873915,-2.987595643,-2.976286343,-2.986051635,-2.939451316,-3.059522568,-2.988536201,-2.987334237,-2.955118421,-2.942244818,-3.059522568,-2.988536201,-2.987334237,-2.955118421,-2.942244818
1.3,-3.325457274,-3.057978379,-3.025421242,-2.987982944,-2.986797308,-2.975530654,-2.985289398,-2.938659683,-3.058708717,-2.987762771,-2.986566152,-2.954339621,-2.941444561,-3.058708717,-2.987762771,-2.986566152,-2.954339621,-2.941444561
1.31,-3.326465017,-3.057081269,-3.02470158,-2.987241763,-2.98601462,-2.974788384,-2.984541964,-2.937882646,-3.057910478,-2.987004165,-2.985812612,-2.953575909,-2.940657469,-3.057910478,-2.987004165,-2.985812612,-2.953575909,-2.940657469
1.32,-3.327446203,-3.056204532,-3.023993172,-2.986515522,-2.985247631,-2.974059576,-2.983809325,-2.937120203,-3.057127837,-2.986260367,-2.985073625,-2.952827282,-2.939883528,-3.057127837,-2.986260367,-2.985073625,-2.952827282,-2.939883528
1.33,-3.328401463,-3.05534804,-3.023296138,-2.985804125,-2.984496356,-2.973344254,-2.983091451,-2.93637233,-3.056360759,-2.985531343,-2.984349177,-2.952093721,-2.939122703,-3.056360759,-2.985531343,-2.984349177,-2.952093721,-2.939122703
1.34,-3.329331413,-3.054511644,-3.022610585,-2.985107473,-2.983760779,-2.972642422,-2.982388293,-2.935638985,-3.055609188,-2.984817039,-2.983639236,-2.951375184,-2.938374944,-3.055609188,-2.984817039,-2.983639236,-2.951375184,-2.938374944
1.35,-3.330236657,-3.053695172,-3.021936605,-2.984425457,-2.983040856,-2.971954067,-2.981699788,-2.93492011,-3.054873052,-2.984117384,-2.982943751,-2.950671613,-2.937640181,-3.054873052,-2.984117384,-2.982943751,-2.950671613,-2.937640181
1.36,-3.331117786,-3.05289843,-3.021274272,-2.983757962,-2.98233652,-2.971279161,-2.981025852,-2.934215629,-3.05415226,-2.983432294,-2.982262656,-2.949982934,-2.93691833,-3.05415226,-2.983432294,-2.982262656,-2.949982934,-2.93691833
1.37,-3.33197538,-3.05212121,-3.02062365,-2.983104863,-2.981647679,-2.970617661,-2.98036639,-2.93352545,-3.053446706,-2.982761666,-2.98159587,-2.949309055,-2.936209294,-3.053446706,-2.982761666,-2.98159587,-2.949309055,-2.936209294
1.38,-3.332810006,-3.051363284,-3.019984789,-2.982466025,-2.980974224,-2.969969509,-2.97972129,-2.932849471,-3.052756271,-2.982105387,-2.980943294,-2.948649872,-2.935512962,-3.052756271,-2.982105387,-2.980943294,-2.948649872,-2.935512962
1.39,-3.333622219,-3.050624409,-3.019357726,-2.981841309,-2.980316028,-2.969334637,-2.979090429,-2.932187572,-3.052080822,-2.98146333,-2.980304821,-2.948005268,-2.934829211,-3.052080822,-2.98146333,-2.980304821,-2.948005268,-2.934829211
1.4,-3.334412563,-3.049904328,-3.018742488,-2.981230564,-2.979672946,-2.96871296,-2.978473672,-2.931539625,-3.051420212,-2.980835358,-2.979680328,-2.947375112,-2.934157908,-3.051420212,-2.980835358,-2.979680328,-2.947375112,-2.934157908
1.41,-3.335181571,-3.049202773,-3.018139091,-2.980633633,-2.979044821,-2.968104388,-2.977870873,-2.93090549,-3.050774286,-2.980221323,-2.979069683,-2.946759263,-2.933498909,-3.050774286,-2.980221323,-2.979069683,-2.946759263,-2.933498909
1.42,-3.335929763,-3.048519462,-3.017547542,-2.980050353,-2.978431482,-2.967508817,-2.977281876,-2.930285017,-3.050142877,-2.979621067,-2.978472743,-2.94615757,-2.932852061,-3.050142877,-2.979621067,-2.978472743,-2.94615757,-2.932852061
1.43,-3.33665765,-3.047854104,-3.016967837,-2.979480553,-2.977832749,-2.966926135,-2.976706516,-2.929678047,-3.049525808,-2.979034424,-2.977889355,-2.945569873,-2.932217205,-3.049525808,-2.979034424,-2.977889355,-2.945569873,-2.932217205
1.44,-3.337365731,-3.0472064,-3.016399963,-2.978924055,-2.977248429,-2.966356221,-2.976144621,-2.929084412,-3.048922895,-2.978461221,-2.977319358,-2.944996003,-2.931594171,-3.048922895,-2.978461221,-2.977319358,-2.944996003,-2.931594171
1.45,-3.338054497,-3.046576041,-3.015843901,-2.978380678,-2.976678322,-2.965798947,-2.97559601,-2.928503939,-3.048333947,-2.977901276,-2.976762584,-2.944435782,-2.930982785,-3.048333947,-2.977901276,-2.976762584,-2.944435782,-2.930982785
1.46,-3.338724424,-3.045962714,-3.015299622,-2.977850234,-2.976122219,-2.965254177,-2.975060496,-2.927936444,-3.047758765,-2.977354404,-2.976218855,-2.943889028,-2.930382867,-3.047758765,-2.977354404,-2.976218855,-2.943889028,-2.930382867
1.47,-3.339375982,-3.045366099,-3.014767089,-2.977332529,-2.975579906,-2.96472177,-2.974537887,-2.927381743,-3.047197143,-2.976820412,-2.975687992,-2.94335555,-2.929794232,-3.047197143,-2.976820412,-2.975687992,-2.94335555,-2.929794232
1.48,-3.34000963,-3.044785871,-3.01424626,-2.976827369,-2.975051162,-2.964201577,-2.974027985,-2.92683964,-3.046648873,-2.976299103,-2.975169805,-2.942835153,-2.929216688,-3.046648873,-2.976299103,-2.975169805,-2.942835153,-2.929216688
1.49,-3.340625815,-3.044221702,-3.013737084,-2.976334553,-2.974535759,-2.963693447,-2.973530587,-2.92630994,-3.04611374,-2.975790276,-2.974664103,-2.942327637,-2.928650042,-3.04611374,-2.975790276,-2.974664103,-2.942327637,-2.928650042
1.5,-3.341224978,-3.04367326,-3.013239506,-2.975853876,-2.974033466,-2.963197221,-2.973045488,-2.925792441,-3.045591525,-2.975293727,-2.974170687,-2.941832798,-2.928094096,-3.045591525,-2.975293727,-2.974170687,-2.941832798,-2.928094096
1.51,-3.341807547,-3.043140212,-3.012753463,-2.975385133,-2.973544051,-2.962712738,-2.972572479,-2.925286938,-3.045082007,-2.974809247,-2.973689359,-2.941350427,-2.92754865,-3.045082007,-2.974809247,-2.973689359,-2.941350427,-2.92754865
1.52,-3.342373943,-3.042622224,-3.012278888,-2.974928116,-2.973067275,-2.962239833,-2.972111348,-2.924793223,-3.044584962,-2.974336626,-2.973219913,-2.940880313,-2.927013502,-3.044584962,-2.974336626,-2.973219913,-2.940880313,-2.927013502
1.53,-3.342924577,-3.042118962,-3.011815708,-2.974482579,-2.972602899,-2.961778183,-2.971661879,-2.924311085,-3.044100164,-2.973875653,-2.972762143,-2.940422242,-2.926488446,-3.044100164,-2.973875653,-2.972762143,-2.940422242,-2.926488446
1.54,-3.34345985,-3.04163009,-3.011363845,-2.974048381,-2.972150681,-2.961327935,-2.971223858,-2.923840314,-3.043627383,-2.973426112,-2.972315841,-2.939975999,-2.925973279,-3.043627383,-2.973426112,-2.972315841,-2.939975999,-2.925973279
1.55,-3.343980157,-3.041155274,-3.010923215,-2.973625274,-2.971710378,-2.960888752,-2.970797066,-2.923380695,-3.04316639,-2.97298779,-2.971880796,-2.939541367,-2.925467792,-3.04316639,-2.97298779,-2.971880796,-2.939541367,-2.925467792
