,ground CCSDE,1A1 (4s),2A1 (3pz),3A1 (3s),4A1 (3d),5A1 (3pz),1A2 (3d),2A2 (4d),1B1 (5px),2B1 (3px),3B1 (3d),4B1 (4px),5B1 (4d), 1B1 (2py),2B2 (3py),3B2 (3d),4B2 (4py),5B2 (4d)
2.77,-3.360692689,-3.0261685,-3.00759812,-2.958712337,-2.956912292,-2.948063305,-2.956186898,-2.904316877,-3.026551927,-2.957441471,-2.956728294,-2.925790318,-2.893427608,-3.026551927,-2.957441471,-2.956728294,-2.925790318,-2.893427608
2.78,-3.36070351,-3.026155083,-3.007745347,-2.958685633,-2.956896981,-2.948076271,-2.956171287,-2.904258792,-3.026529938,-2.957422143,-2.956709802,-2.925786274,-2.893236966,-3.026529938,-2.957422143,-2.956709802,-2.925786274,-2.893236966
2.79,-3.360713971,-3.026141983,-3.007892598,-2.958659154,-2.956882007,-2.948089344,-2.956156018,-2.904200919,-3.026508388,-2.957403179,-2.95669166,-2.925782506,-2.893046845,-3.026508388,-2.957403179,-2.95669166,-2.925782506,-2.893046845
2.8,-3.360724083,-3.026129189,-3.008039836,-2.958632893,-2.95686736,-2.94810251,-2.956141083,-2.904143251,-3.026487265,-2.957384568,-2.95667386,-2.925779002,-2.89285727,-3.026487265,-2.957384568,-2.95667386,-2.925779002,-2.89285727
2.81,-3.360733858,-3.026116693,-3.008187025,-2.958606844,-2.956853032,-2.948115756,-2.956126473,-2.904085777,-3.02646656,-2.957366301,-2.956656393,-2.925775752,-2.892668266,-3.02646656,-2.957366301,-2.956656393,-2.925775752,-2.892668266
2.82,-3.360743307,-3.026104488,-3.008334127,-2.958581003,-2.956839014,-2.948129069,-2.956112179,-2.904028489,-3.026446263,-2.957348368,-2.956639252,-2.925772744,-2.892479863,-3.026446263,-2.957348368,-2.956639252,-2.925772744,-2.892479863
2.83,-3.360752441,-3.026092565,-3.008481108,-2.958555363,-2.956825298,-2.948142437,-2.956098193,-2.903971379,-3.026426366,-2.95733076,-2.956622428,-2.925769969,-2.892292094,-3.026426366,-2.95733076,-2.956622428,-2.925769969,-2.892292094
2.84,-3.36076127,-3.026080916,-3.008627942,-2.95852992,-2.956811875,-2.94815585,-2.956084507,-2.903914439,-3.026406857,-2.957313468,-2.956605913,-2.925767417,-2.892104998,-3.026406857,-2.957313468,-2.956605913,-2.925767417,-2.892104998
2.85,-3.360769803,-3.026069534,-3.008774581,-2.958504669,-2.956798738,-2.948169295,-2.956071113,-2.903857661,-3.026387729,-2.957296482,-2.956589701,-2.925765079,-2.89191862,-3.026387729,-2.957296482,-2.956589701,-2.925765079,-2.89191862
2.86,-3.360778052,-3.02605841,-3.008921001,-2.958479607,-2.956785879,-2.948182762,-2.956058004,-2.903801038,-3.026368973,-2.957279795,-2.956573783,-2.925762945,-2.891733012,-3.026368973,-2.957279795,-2.956573783,-2.925762945,-2.891733012
